,State,Website,Email,Phone Number,Serving
0,AL,http://www.namibaldwincounty.org,namibaldwin@gmail.com,(251) 279-0573,Baldwin County
1,AL,http://www.namibirmingham.org,srsallin@gmail.com,N/A,Jefferson County
2,AL,N/A,N/A,(256) 706-0008,Cherokee County
3,AL,N/A,jcahelajoyce@gmail.com,(334) 745-5611,Lee County
4,AL,http://www.namihuntsville.org,info@namihuntsville.org,(256) 534-2628,Madison County
5,AL,http://www.namimobile.org,namimobile1@gmail.com,(251) 461-3450,Mobile & Washington Counties
6,AL,http://www.namimontgomery.org,ethelgreen437@gmail.com,(334) 221-4376,"Montgomery, Elmore, Autauga, and Lowdnes Counties"
7,AL,http://www.namishelby.org,namishelby@gmail.com,(205) 202-0827,"Shelby County & Chilton County, AL"
8,AL,N/A,namishoals2@gmail.com,(256) 765-2081,"Colbert, Franklin, Lauderdale Counties"
9,AL,https://www.facebook.com/TuscaloosaNAMI,pelican9000@netscape.net,(205) 344-1555,Tuscaloosa County
10,AK,http://www.namianchorage.org,info@namianchorage.org,(907) 272-0227,Anchorage
11,AK,https://namifairbanks.org,fairbanksnami@gmail.com,(907) 456-4704,Fairbanks North Star Borough
12,AK,http://www.namijuneau.org,namijuneau@gmail.com,(907) 463-4251,Juneau-Southeast Alaska
13,AK,N/A,N/A,N/A,North Slope Borough
14,AZ,http://www.namiflagstaff.org,flagnami@gmail.com,(928) 214-2218,"Flagstaff, Williams"
15,AZ,N/A,N/A,(928) 680-7428,N/A
16,AZ,http://www.NAMIPayson.org,namipayson@yahoo.com,(928) 301-9140,Gila County
17,AZ,N/A,mary.lapaglia@gmail.com,(520) 414-7173,"Pinal County, Arizona"
18,AZ,http://www.namiseaz.org,namiseazinfo@gmail.com,(520) 508-3386,"Cochise, Graham, Greenlee, and Santa Cruz counties"
19,AZ,http://www.NAMIsa.org,namisa@namisa.org,(520) 622-5582,"Tucson Metro/Pima County, Arizona"
20,AZ,http://namivalleyofthesun.org,info@namivalleyofthesun.org,(602) 244-8166,Maricopa County
21,AZ,http://www.namiwmaz.org,namiwhitemountains@gmail.com,(928) 298-1914,"Navajo and Apache Counties, non Tribal areas"
22,AZ,http://www.NAMIYavapai.org,N/A,(928) 642-5705,"Yavapai County, Prescott, etc., AZ"
23,AZ,N/A,nami.yumaaz@gmail.com,(928) 581-6886,"Yuma County, AZ"
24,AR,http://www.namiarkansas.org,help@namiarkansas.org,(800) 844-0381,"Counties of Faulkner, Conway, Van Buren, Cleburne, Perry, Pope"
25,AR,http://www.namiarkansas.org,marquitta.magnini@namiarkansas.org,(800) 844-0381,"Counties of Garland, Hot Spring, Montgomery, Columbia, Ouachita, Nevada, Lafeyette, Miller,"
26,AR,http://www.namiarkansas.org,help@namiarkansas.org,(800) 844-0381,"Counties of Pulaski, Saline, Grant, Jefferson, Arkansas, Lonoke"
27,AR,http://www.namiarkansas.org,help@namiarkansas.org,(800) 844-0381,"Counties of Marion, Baxter, Searcy, Stone, Fulton, Izard, Sharp, Boone, Newton"
